ref,title,author,lastRunTime,totalVotes
aishwaryasingh777/s6e3-eda-xgb-lb-cat-version-2,S6E3 | EDA | (XGB + LB + Cat) | Version:2,Aishwarya Singh,2026-03-04 20:12:20.217000,6

sasha1111/churn-blending-eda-cat-lgbm-xgb-lr,Churn Blending EDA(Cat + LGBM + XGB + LR),S-as-H,2026-03-07 13:17:51.853000,19

quangnguynv/xgb-churn-prediction-create-new-features,XGB Churn prediction - create new features,QuangVu,2026-03-05 09:30:29.127000,35

luckysingh3003/customer-churn-prediction-xgboot,Customer Churn Prediction|XGBOOT,Lucky Singh,2026-03-17 05:44:34.183000,4

bhaskarmishra44796/customer-churn-xgbc,Customer Churn-XGBC,Korty,2026-03-12 14:25:06.747000,41

djenkivanov/xgb-simple-baseline,XGB Simple Baseline,Djenk Ivanov,2026-03-02 18:01:24.797000,21

sakuno/customer-churn-eda-base-digit-oof-cat,💸Customer Churn 📊 EDA | BASE + DIGIT | OOF Cat,Kawthar ELTARR,2026-03-11 02:52:09,30

uuratl/0-91414-lgbm-ensemble,0.91414 LGBM | Ensemble,Uğur Atlı,2026-03-09 15:58:51,2

adastroabyssosque/0-914-stacking-xgb-lgbm,0.914|Stacking (XGB+LGBM),Anqi Wang,2026-03-15 11:23:12,16

subzerin/predict-3,Predict 3,TG_Aetheryx,2026-03-07 09:22:00,4

daoviet/s6e3-eda-models-0-94,S6E3 | EDA + Models | 0.94+ ,daoviet,2026-03-02 01:11:55.367000,16

charmy444/s6e3-xgboost-lgbm-catboost-0-91410,S6E3 | XGBoost + LGBM + CatBoost | 0.91410,charmy444,2026-03-18 01:16:21.707000,1

artheon/xgboost-churn-prediction-0-91645-auc,XGBoost Churn Prediction | 0.91645 AUC,Artheon,2026-03-15 13:20:36.577000,6

eric15342335/autogluon-gpu-s6e3,AutoGluon GPU s6e3,eric15342335,2026-03-01 05:09:14.927000,1

hsakamoto/s6e3-lgbm-shap,S6E3_LGBM_SHAP,kabotsu,2026-03-01 12:40:41.893000,8

ekremkutukculer/predict-customer-churn-auc-0-91707,Predict Customer Churn AUC: 0.91707,EkremKutukculer,2026-03-01 12:41:31.413000,15

kostya138/eda-feature-engineering-ensemble,EDA| Feature Engineering & Ensemble,Kostya 138,2026-03-07 19:08:35.283000,26

abhishekgupta56447/weighted-ensemble-churn-prediction,Weighted Ensemble Churn Prediction,Abhishek Gupta,2026-03-02 10:50:41.107000,7

tamerlanomralinov/churn-prediction-xgboost-lgbm-severe-fe,Churn Prediction | XGBoost + LGBM + Severe FE,Tamerlan Omralinov,2026-03-18 06:28:51.937000,12

dmahajanbe23/customer-churn-xgboost-0-91407-trustable,Customer Churn | XGBoost | 0.91407 (Trustable),divye.mahajan,2026-03-02 08:39:26,45

mdmahfuzsumon/predict-customer-churn-notebook,Predict Customer Churn Notebook,Md Mahfuz Sumon,2026-03-17 05:42:29.747000,37

sarthakniwate13/churn-pred-with-multi-seed-ensemble,Churn Pred with Multi Seed Ensemble,Sarthak Niwate,2026-03-14 07:25:04,1

roshaank20/customer-churn-prediction,Customer Churn Prediction,Roshaan Ahmed Khan,2026-03-18 02:13:30.577000,4

mehreenrahman/s6e3-ensemble-optuna-tuning,S6E3💥|| Ensemble || Optuna tuning,Mehreen Rahman,2026-03-16 05:28:33.787000,7

thuandao/overall-picture-eda-detail,📞 Overall Picture 🤖| EDA Detail,Đào Minh Thuấn 🎖️,2026-03-02 09:17:07,22

arfazrll/churn-prediction,Churn Prediction,Arfazrll,2026-03-03 15:53:51.997000,3

seungjunleeofficial/auc-0-91681-tree-tabnet-ft-transformer,[AUC : 0.91681] Tree + TabNet + FT Transformer,Seungjun Lee,2026-03-05 14:37:06.857000,5

gehadabdulaziz/customer-churn-prediction-ensemble-feature-eng,Customer Churn Prediction Ensemble & Feature Eng,Gehad Abdulaziz,2026-03-09 20:13:09,3

mahmudulmadu/s6e3-adv-fe-xgboost-lightgbm-catboost-ensemble,"S6e3-Adv FE + XGBoost, LightGBM, CatBoost Ensemble",mahmudulmadu,2026-03-16 08:49:38,5

lucasmoraes001/customer-churn-xgboost-only-0-91402,Customer Churn | XGBoost Only |  0.91402 ,Lucas Moraes,2026-03-17 20:40:27,6

nishu65/enhanced-churn-prediction,enhanced_churn_prediction,Nishuxf,2026-03-03 16:23:42.527000,1

trnhquangminh140/predict-customer-churn-minh,Predict Customer Churn - Minh,Trịnh Quang Minh,2026-03-12 11:53:11.397000,4

samuelkamau/customer-churn-prediction,Customer Churn Prediction ,Samuel Waweru,2026-03-17 20:06:13.603000,5

junaid512/predict-customer-churn,Predict Customer Churn,Muhammad Junaid,2026-03-17 16:16:59,1

nishu65/predict-customer-churn-s6e3-xgb-catb-log-rf,"Predict Customer Churn:S6E3:[XGB,CATB,LOG,RF]",Nishuxf,2026-03-03 04:57:49.537000,16

amritanshukush/customer-churn-stacking-meta-learner,Customer Churn | Stacking Meta-Learner,Amritanshu Kumar Singh,2026-03-17 15:00:48,20

prabhpreetsingh5/lgm-ct-hb-lg,LGM+CT+HB+LG,Prabhpreet_Singh5,2026-03-05 10:58:37,0

purvanshsahu/customer-churn-prediction,Customer Churn Prediction,Purvansh Sahu,2026-03-14 17:42:26,0

nishu65/s6-e3,S6 E3,Nishuxf,2026-03-01 03:22:41.563000,5

kacchanwriting/20260306-oof-jp,20260306_OOF_JP,Ikki Katsuyama,2026-03-06 23:01:35.817000,9

yashpalthakor/lightgbm-based-customer-churn-modeling-with-5-fold,LightGBM-Based Customer Churn Modeling with 5-Fold,Yashpalsinh Thakor,2026-03-01 09:06:43.707000,13

haradibots/categorical-handling-native-lightgbm,CATEGORICAL HANDLING (Native LightGBM),Haradi Bots,2026-03-02 15:39:21.253000,16

vh10935cse20/customer-churn-catboost,Customer churn || Catboost,SARANG,2026-03-17 14:49:03,18

nishu65/ultimate-grid-search-ensemble,ultimate_grid_search_ensemble,Nishuxf,2026-03-07 17:09:03,1

manish756/esemble-model-and-simple-feature-engineering,esemble_model and simple Feature_engineering,Manish Swami,2026-03-12 03:42:32.803000,0

haradibots/oof-fold-5,OOF  Fold 5,Haradi Bots,2026-03-01 06:58:51,18

haradibots/let-s-doo-some-work,£ let's doo some work,Haradi Bots,2026-03-01 06:06:53.917000,18

evgendvorkin/enhanced-catboost-model-with-fe, Enhanced CatBoost Model with FE,Дворкин Евгений Владимирович,2026-03-05 13:47:23.143000,4

nabasaikia/customerchurn,CustomerChurn,Naba Saikia,2026-03-06 13:56:59.503000,7

amerhu/ensemble-churn-prediction,💎 Ensemble Churn Prediction 💹,Amer,2026-03-03 03:53:52,43

jaiahuja20/customer-churn-prediction-boosting-v1,Customer_churn_prediction_BOOSTING_V1,Jai Ahuja,2026-03-04 20:29:05.277000,0

