ref,title,author,lastRunTime,totalVotes
nalgirayergn/xgb-predict-customer-churn-cv-0-91819,XGB - Predict Customer Churn - CV: 0.91819,Ünal Giray Ergün,2026-03-05 14:42:18,30

eric15342335/xgb-predict-customer-churn,XGB - Predict Customer Churn,eric15342335,2026-03-06 05:05:50.673000,4

manasi197/s6e3-hybrid-ensemble-advanced-fe,S6E3: Hybrid Ensemble: Advanced FE,Manasi Pandit,2026-03-15 08:10:36.627000,38

rommelsharma/customer-churn-high-bin-low-depth-tree,Customer Churn-High-Bin Low-Depth Tree,Rommel Sharma,2026-03-06 08:23:33,8

rohaniyerdev/customer-churn-xgboost-with-optuna,[Customer Churn] XGBoost with Optuna,Rohan Iyer,2026-03-09 16:41:29.543000,4

ravi20076/playgrounds6e3-public-baseline-v2,PlaygroundS6E3|Public|Baseline|V2,Ravi Ramakrishnan,2026-03-01 12:43:43.573000,10

yusufmurtaza01/s6e3-cb,S6e3 | CB,Yusuf Murtaza 01,2026-03-17 11:35:11,2

adwaittagalpallewar/churn-prediction-optuna-digit-decomposition,Churn Prediction | Optuna | Digit_Decomposition,Adwait Tagalpallewar,2026-03-07 11:34:48.203000,9

eric15342335/chatgpt-vibe-coding-3xgpu-models-cv-0-9178,ChatGPT Vibe Coding - 3xGPU Models - CV 0.9178,eric15342335,2026-03-04 06:57:45,8

gopikrishnan2005/s6e3-eda-shap,S6E3 || EDA+SHAP,Gopi Krishnan R,2026-03-01 16:21:56.787000,13

cdeotte/gnn-starter-cv-0-9155-with-hill-climbing-demo,GNN Starter [CV 0.9155] with Hill Climbing Demo,Chris Deotte,2026-03-09 19:24:32,80

emanuellcs/predict-customer-churn-lgbm-xgb-catboost,Predict Customer Churn | LGBM + XGB + CatBoost,Emanuel Lázaro,2026-03-18 02:58:25.717000,32

sarcasmos/predict-customer-churn-season-6-episode,Predict Customer Churn - Season 6 Episode,Sheikh Abdul Rehman,2026-03-01 12:39:49.687000,74

justcode1/customer,customer,Just Code,2026-03-07 08:50:12,16

nirmalpatel02/eda-lightgbm-cvensemble,EDA | LightGBM | CVEnsemble,Nirmal Patel,2026-03-10 15:04:20,27

tsunamazda/predict-customer-churn-single-lightgbm,Predict Customer Churn | Single LightGBM,Tsuna Mazda,2026-03-07 14:45:53,25

eric15342335/autogluon-cpu-s6e3,AutoGluon CPU s6e3,eric15342335,2026-03-06 05:28:02.727000,6

cdeotte/chatgpt-vibe-coding-3xgpu-models-cv-0-9178,ChatGPT Vibe Coding - 3xGPU Models - [CV 0.9178],Chris Deotte,2026-03-02 07:56:13,83

theallkeeeymist/customer-churn,Customer-Churn,Sudhanshu,2026-03-17 04:57:37,22

sehaj1104/xgb-predict-customer-churn-best,XGB - Predict Customer Churn BEST,Mansehaj Preet,2026-03-04 07:41:13.837000,21

include4eto/tabtransfomer-chatgpt-vibe-coding,TabTransfomer: ChatGPT Vibe-Coding,Traiko Dinev,2026-03-16 17:16:23.913000,26

gauravduttaiiitb/s6e3-flaml-roc-auc-weighted,S6E3 : FLAML : roc_auc_weighted,Gaurav Dutta,2026-03-01 07:31:34.863000,5

gauravduttaiiitb/s6e3-flaml-roc-auc,S6E3 : FLAML : roc_auc,Gaurav Dutta,2026-03-01 07:45:52.857000,4

gauravduttaiiitb/s6e3-flaml-log-loss,S6E3 : FLAML : log_loss,Gaurav Dutta,2026-03-01 07:47:21,4

gauravduttaiiitb/s6e3-flaml-accuracy,S6E3 : FLAML : accuracy,Gaurav Dutta,2026-03-01 07:48:26,4

gauravduttaiiitb/s6e3-flaml-ap,S6E3 : FLAML : ap,Gaurav Dutta,2026-03-01 07:29:47,4

majjjvinaykumar/notebook617b4bd766,notebook617b4bd766,MAJJJ VINAY KUMAR,2026-03-06 11:14:15.043000,7

seungjunleeofficial/s6e3-eda-feature-eng-trees-optuna-tuning-ensemble,"S6E3|EDA,Feature Eng,Trees Optuna Tuning, Ensemble",Seungjun Lee,2026-03-09 13:23:26.007000,5

gabewinterrowd/ps-s6-e3-catboost-w-feature-engineering,PS|S6|E3: CatBoost w/ Feature Engineering,Gabe Winterrowd,2026-03-11 16:22:41,0

seungjunleeofficial/eda-feature-engineering-xgb-catboost-lightgbm,EDA + Feature Engineering | XGB+CatBoost+LightGBM,Seungjun Lee,2026-03-11 23:20:16,2

emircansoftware/churn-prediction-ensemble,Churn Prediction | Ensemble,Emircan Güneş,2026-03-15 20:37:06.607000,28

kodaifukuda0311/churn-prediction-19-131features-lgbm-0-91506,Churn Prediction | 19->131Features+LGBM | 0.91506,Kodai Fukuda,2026-03-18 04:24:01,0

