ref,title,author,lastRunTime,totalVotes

anthonytherrien/predict-customer-churn-blend, Predict Customer Churn | Blend,AnthonyTherrien,2026-03-18 01:03:23,30

yusufmurtaza01/s6e3-blend-2,S6e3 | blend 2,Yusuf Murtaza 01,2026-03-17 15:31:55.447000,13

nina2025/ps-s6e3-hb15,PS-s6e3 | hb15,F.A.Nina,2026-03-17 03:03:48.263000,34

nina2025/ps-s6e3-hb14,PS-s6e3 | hb14,F.A.Nina,2026-03-17 05:58:01.753000,12

jirapatjoon/jirapatruengsri837,jirapatRuengsri837,JirapatJoon,2026-03-17 06:15:55.007000,1

yusufmurtaza01/s6e3-blending,s6e3 | blending,Yusuf Murtaza 01,2026-03-16 16:59:26.657000,14

nina2025/ps-s6e3-hb13,PS-s6e3 | hb13,F.A.Nina,2026-03-16 06:56:18.947000,17

nina2025/ps-s6e3-hb10,PS-s6e3 | hb10,F.A.Nina,2026-03-16 05:32:20,19

artemevstafyev/cv-auc-0-91930-xgb-cb-blend,CV AUC 0.91930 XGB&CB + Blend,Artem,2026-03-12 17:55:52.803000,63

dmahajanbe23/customer-churn-blend-0-91691,Customer Churn|Blend|0.91691,divye.mahajan,2026-03-14 22:28:08.173000,30

rhythmghai/stacked-ensemble-for-customer-churn-prediction,Stacked Ensemble for Customer Churn Prediction,PinkPixelAI,2026-03-14 17:18:17.567000,6

sigmaborov/ps-s6e3-xgboost-feature-engineering-baseline,PS S6E3 | XGBoost + Feature Engineering Baseline,sigmaborov,2026-03-11 09:52:52.513000,27

nina2025/ps-s6e3-hb12,PS-s6e3 | hb12,F.A.Nina,2026-03-16 05:32:46,10

yusufmurtaza01/s6e3-blend-3,S6e3 | blend 3,Yusuf Murtaza 01,2026-03-17 16:44:08,10

ravi20076/playgrounds6e3-public-baseline-v1,PlaygroundS6E3|Public|Baseline|V1,Ravi Ramakrishnan,2026-03-08 16:41:42,38

wguesdon/ps6e3-automated-public-ensemble,PS6E3 Automated Public Ensemble,Will,2026-03-17 23:32:23.407000,23

nina2025/ps-s6e3-hb11,PS-s6e3 | hb11,F.A.Nina,2026-03-16 05:32:32.613000,7

sehaj1104/playground-s6e3-5-notebook-rank-ensemble,Playground S6E3 – 5 Notebook Rank Ensemble,Mansehaj Preet,2026-03-09 17:16:36.227000,12

jaclyndeem/churn-fork-2-ridge-xgb-ngram-cv0-919,Churn Fork 2 - Ridge XGB Ngram CV0.919,Quadruped,2026-03-15 07:36:03.983000,1

blamerx/s6e3-ridge-xgb-n-gram-0-91927-cv,S6E3🥇|Ridge → XGB + N-gram|0.91927 CV,BlamerX,2026-03-14 16:20:27,74

manasi197/s6e3-bi-gram-tri-gram-te-features,S6E3 : Bi-gram + Tri-gram TE features,Manasi Pandit,2026-03-14 12:55:26.747000,4

blamerx/s6e3-tabm-advanced-features-0-91898-cv,S6E3⭐|TabM + Advanced Features|0.91898 CV ,BlamerX,2026-03-14 16:39:05.503000,20

emanuellcs/predict-customer-churn-xgboost,Predict Customer Churn | XGBoost,Emanuel Lázaro,2026-03-18 02:45:51.537000,41

itsyoursumit/predict-customer-churn-6-03,Predict Customer Churn | 6.03,Sumit Pandey,2026-03-18 04:52:04.173000,3

lightningv08/cv-auc-0-91927-xgboost-bi-tri-target-encoding,CV AUC: 0.91927🔥 XGBoost + Bi/Tri Target Encoding,Vladislav Lavrentev,2026-03-07 15:43:16.767000,13

jaclyndeem/churn-xgb-bitri-91927-fork,churn-xgb-bitri-91927-fork,Quadruped,2026-03-12 22:55:33,2

meenalsinha/predict-customer-churn,Predict Customer Churn,Meenal Sinha,2026-03-07 08:43:29.223000,21

mikhailnaumov/customer-churn-ensemble,Customer Churn | Ensemble,Mikhail Naumov,2026-03-17 15:32:26.323000,36

ozermehmet/original-data-fe-single-xgb-cv-0-919-lb-0-916,Original Data FE + Single XGB[CV 0.919 | LB 0.916],Mehmet Özer,2026-03-11 12:36:28,10

blamerx/s6e3-0-91906-optimized-lightgbm,S6E3⚡ | 0.91906 🧩 Optimized LightGBM,BlamerX,2026-03-09 05:26:54.643000,26

yekenot/ps-s6-e3-realmlp-pytabkit,PS|S6|E3: RealMLP · PyTabKit,Vladimir Demidov,2026-03-16 09:59:52.337000,54

azzamradman/0326-blend-the-blender,0326 Blend the Blender,DataRegressor,2026-03-06 21:42:01,12

dmahajanbe23/customer-churn-diverse-rank-blend-0-91656,Customer Churn | Diverse Rank Blend | 0.91656,divye.mahajan,2026-03-06 17:41:19.647000,23

badalkrsharma/rank-blend-cv-0-91865-xgb-lgb-cat,Rank Blend  CV :0.91865|XGB+LGB+Cat|,Badal kr. Sharma,2026-03-06 13:53:10.867000,44

artemevstafyev/detailed-eda-blend,Detailed EDA + Blend,Artem,2026-03-03 22:32:49.603000,47

rupankarmajumdar/s6e3-predict-customer-churn-model-blending,S6E3 Predict Customer Churn - Model Blending,Rupankar Majumdar,2026-03-03 20:24:33.553000,1

blamerx/s6e3-0-91902-optimized-catboost,S6E3🚀| 0.91902  🧩 Optimized CatBoost,BlamerX,2026-03-09 05:23:53,20

yusufmurtaza01/s6e3-xgb,S6e3 | XGB,Yusuf Murtaza 01,2026-03-15 05:52:41.683000,3

include4eto/realmlp-feature-engineering,RealMLP - Feature Engineering,Traiko Dinev,2026-03-10 22:28:06,8

badalkrsharma/cv-0-91680-xgb-lgb-multi-seed-ensemble,CV-0.91680  XGB+LGB Multi-Seed Ensemble,Badal kr. Sharma,2026-03-08 07:44:39.963000,61

sdeogade/customer-churn,Customer Churn 🪙,SDeogade,2026-03-16 16:36:43,29

ssssws/cv-0-91689-xgb-lgb-multi-seed-ensemble,CV-0.91689  XGB+LGB Multi-Seed Ensemble,Thanh Nhan Nguyen,2026-03-15 09:47:09.203000,2

d1ffic00lt/0-9163-catboost-lgbm-features-off-preds,0.9163 | Catboost & LGBM & features & OFF preds,Filinov Dmitry,2026-03-15 17:51:37,25

sdeogade/customer-churn-ensemble,Customer Churn🪙 | Ensemble,SDeogade,2026-03-14 17:38:08.147000,31

jimgruman/beloved-customers,Beloved Customers,Jim Gruman,2026-03-17 12:37:44.477000,23

rawashishsin/feature-engineering-xgb-0-91847,Feature Engineering + XGB | 0.91847,AshishSinghRawat,2026-03-10 15:56:02.483000,4

seungjunleeofficial/s6e3-0-91625-eda-realmlp-optuna-k-fold,S6E3 [0.91625] EDA + RealMLP + Optuna + K-Fold,Seungjun Lee,2026-03-15 09:47:50.707000,4

lightningv08/s6e3-cv-0-91849-xgb-kfold-fe-pl,S6E3 | CV: 0.91849 | XGB KFold | FE | PL,Vladislav Lavrentev,2026-03-02 06:02:58,23

kacchanwriting/20260310-churn-v7,20260310_Churn_v7,Ikki Katsuyama,2026-03-10 09:14:30.627000,8

lightningv08/s6e3-cv-0-91831-fast-xgb-kfold-fe,S6E3 | CV: 0.91831 | Fast XGB KFold | FE,Vladislav Lavrentev,2026-03-03 13:39:14.247000,8

lightningv08/s6e3-cv-0-91842-xgb-kfold-pseudo-labeling,S6E3 | CV: 0.91842 | XGB KFold | Pseudo Labeling,Vladislav Lavrentev,2026-03-02 04:41:30.693000,17

yusufmurtaza01/s6e3-training,s6e3 | Training ,Yusuf Murtaza 01,2026-03-14 11:46:45,15

eric15342335/s6e3-fork-xgb-kfold-fe-pl,S6E3 | Fork | XGB KFold | FE | PL,eric15342335,2026-03-04 08:33:27.617000,1

datasciencegrad/s6e3-detail-eda-baseline-xgb-auc-0-91808,S6E3 | Detail EDA + Baseline : XGB | AUC: 0.91808,Sagar Nagpure,2026-03-01 05:22:28.653000,100

mdyusufmurtaza/s6e3-lgbm-0-91610,S6e3 | LGBM 0.91610, MD YUSUF MURTAZA,2026-03-17 23:41:50.183000,1

include4eto/single-xgb-cudf-pseudo-labels-cv-0-91789,"Single XGB, cuDF + Pseudo Labels, CV: 0.91789",Traiko Dinev,2026-03-02 10:43:35.337000,57

suhanigupta04/playground-series-s6e3,Playground Series | S6E3,Suhani Gupta_04,2026-03-03 07:22:47.737000,7

rohaniyerdev/lb-916-predict-customer-churn-with-xgboost,[LB .916] Predict Customer Churn with XGBoost,Rohan Iyer,2026-03-10 17:04:32.797000,3

include4eto/tabm-pseudo-labels,TabM + Pseudo Labels,Traiko Dinev,2026-03-03 18:58:50,5

nishu65/complete-optimized-churn-prediction,COMPLETE_OPTIMIZED_CHURN_PREDICTION,Nishuxf,2026-03-10 11:04:45.467000,2

cdeotte/bartz-starter-cv-0-9164-with-hill-climbing-demo,Bartz Starter [CV 0.9164] with Hill Climbing Demo,Chris Deotte,2026-03-12 02:02:59.937000,40

tsunamazda/predicting-customer-churn-with-xgb-using-polars,Predicting Customer Churn with xgb using Polars,Tsuna Mazda,2026-03-12 08:38:06.953000,16

yusufmurtaza01/s6e3-lgbm,S6e3 | LGBM,Yusuf Murtaza 01,2026-03-17 04:32:30.427000,3

rohanrathod02/customer-churn-xgb-lgbm-catboost-ensemble,Customer Churn | XGB + LGBM + CatBoost | Ensemble,Rohan Rathod,2026-03-10 12:12:31.827000,64

azzamradman/xgb-decaying-learning-rate-boost-guaranteed,XGB - Decaying Learning Rate | Boost Guaranteed,DataRegressor,2026-03-05 22:24:50,20

rohanrathod02/churn-prediction-lightgbm-eda-wait-loading,Churn Prediction | LightGBM | EDA | Wait Loading ,Rohan Rathod,2026-03-15 03:48:36.273000,52

jaclyndeem/churn-ensemble-xgb-lgbm-cat,Churn Ensemble XGB LGBM Cat,Quadruped,2026-03-15 06:25:26.927000,1

sehaj1104/xgb-predict-customer-churn-bestest,XGB Predict Customer Churn BESTEST,Mansehaj Preet,2026-03-06 05:22:05.437000,17

